AGE,SEX,POP,RACE,us
20,0,3290820,7,1
20,0,737712,8,1
20,0,109242,9,1
20,0,300528,10,1
20,0,25487,11,1
21,0,4278323,0,1
21,0,3130082,1,1
21,0,653391,2,1
21,0,64812,3,1
21,0,247141,4,1
21,0,11721,5,1
21,0,171176,6,1
21,0,3285052,7,1
21,0,738962,8,1
21,0,108862,9,1
21,0,308066,10,1
21,0,24938,11,1
22,0,4298772,0,1
22,0,3142908,1,1
22,0,653260,2,1
22,0,64164,3,1
22,0,260117,4,1
22,0,11600,5,1
22,0,166723,6,1
22,0,3293506,7,1
22,0,735287,8,1
22,0,108540,9,1
22,0,319769,10,1
22,0,24775,11,1
23,0,4341644,0,1
23,0,3172754,1,1
23,0,655065,2,1
23,0,64069,3,1
23,0,274741,4,1
23,0,12086,5,1
23,0,162929,6,1
23,0,3319719,7,1
23,0,733901,8,1
23,0,108667,9,1
23,0,333473,10,1
23,0,25195,11,1
24,0,4444518,0,1
24,0,3232207,1,1
24,0,688471,2,1
24,0,65483,3,1
24,0,285490,4,1
24,0,12693,5,1
24,0,160174,6,1
24,0,3375671,7,1
24,0,765218,8,1
24,0,110655,9,1
24,0,343232,10,1
24,0,26111,11,1
25,0,4539058,0,1
25,0,3283663,1,1
25,0,720824,2,1
25,0,66952,3,1
25,0,297843,4,1
25,0,12917,5,1
25,0,156859,6,1
25,0,3423465,7,1
25,0,794177,8,1
25,0,112886,9,1
25,0,354802,10,1
25,0,26561,11,1
26,0,4611220,0,1
26,0,3327926,1,1
26,0,741956,2,1
26,0,69051,3,1
26,0,308417,4,1
26,0,13192,5,1
26,0,150678,6,1
26,0,3461734,7,1
26,0,810846,8,1
26,0,114590,9,1
26,0,363650,10,1
26,0,26514,11,1
27,0,4733869,0,1
27,0,3416577,1,1
27,0,758701,2,1
27,0,71221,3,1
27,0,324788,4,1
27,0,13622,5,1
27,0,148960,6,1
27,0,3547947,7,1
27,0,824458,8,1
27,0,117083,9,1
27,0,380907,10,1
27,0,27341,11,1
28,0,4818725,0,1
28,0,3477798,1,1
28,0,768399,2,1
28,0,70686,3,1
28,0,343531,4,1
28,0,14719,5,1
28,0,143592,6,1
28,0,3602855,7,1
28,0,830928,8,1
28,0,114792,9,1
28,0,399677,10,1
28,0,28821,11,1
29,0,4806144,0,1
29,0,3479601,1,1
29,0,756564,2,1
29,0,69250,3,1
29,0,350977,4,1
29,0,15001,5,1
29,0,134751,6,1
29,0,3597233,7,1
29,0,813786,8,1
29,0,111035,9,1
29,0,404141,10,1
29,0,28233,11,1
30,0,4614384,0,1
30,0,3349570,1,1
30,0,708906,2,1
30,0,65665,3,1
30,0,351128,4,1
30,0,14343,5,1
30,0,124772,6,1
30,0,3458261,7,1
30,0,760939,8,1
30,0,104711,9,1
30,0,400859,10,1
30,0,26698,11,1
31,0,4502311,0,1
31,0,3298285,1,1
31,0,665183,2,1
31,0,64225,3,1
31,0,342348,4,1
31,0,14231,5,1
31,0,118039,6,1
31,0,3400948,7,1
31,0,713512,8,1
31,0,101263,9,1
31,0,390006,10,1
31,0,26266,11,1
32,0,4421505,0,1
32,0,3258522,1,1
32,0,638376,2,1
32,0,62035,3,1
32,0,336251,4,1
32,0,14039,5,1
32,0,112282,6,1
32,0,3356235,7,1
32,0,684066,8,1
32,0,98244,9,1
32,0,381312,10,1
32,0,25276,11,1
33,0,4432973,0,1
33,0,3284650,1,1
33,0,626458,2,1
33,0,61845,3,1
33,0,337549,4,1
33,0,14240,5,1
33,0,108231,6,1
33,0,3378455,7,1
33,0,669475,8,1
33,0,97432,9,1
33,0,381074,10,1
33,0,25517,11,1
34,0,4460132,0,1
34,0,3314473,1,1
34,0,622997,2,1
34,0,61250,3,1
34,0,341524,4,1
34,0,14105,5,1
34,0,105783,6,1
34,0,3406205,7,1
34,0,663979,8,1
34,0,96718,9,1
34,0,384396,10,1
34,0,25268,11,1
35,0,4315866,0,1
35,0,3209001,1,1
35,0,594751,2,1
35,0,59711,3,1
35,0,337504,4,1
35,0,13592,5,1
35,0,101307,6,1
35,0,3296675,7,1
35,0,633237,8,1
35,0,94300,9,1
35,0,378995,10,1
35,0,24417,11,1
36,0,4372444,0,1
36,0,3259271,1,1
36,0,600900,2,1
36,0,60629,3,1
36,0,335987,4,1
36,0,13882,5,1
36,0,101775,6,1
36,0,3347202,7,1
36,0,639328,8,1
36,0,95846,9,1
36,0,377340,10,1
36,0,24835,11,1
37,0,4361286,0,1
37,0,3257226,1,1
37,0,599182,2,1
37,0,59276,3,1
37,0,332822,4,1
37,0,13820,5,1
37,0,98960,6,1
37,0,3342599,7,1
37,0,636666,8,1
37,0,94281,9,1
37,0,372432,10,1
37,0,24549,11,1
38,0,4305576,0,1
38,0,3225801,1,1
38,0,593209,2,1
38,0,58302,3,1
38,0,318130,4,1
38,0,13153,5,1
38,0,96981,6,1
38,0,3309348,7,1
38,0,630085,8,1
38,0,92794,9,1
38,0,356643,10,1
38,0,23680,11,1
39,0,4382349,0,1
39,0,3275823,1,1
39,0,615878,2,1
39,0,59571,3,1
39,0,321147,4,1
39,0,13516,5,1
39,0,96414,6,1
39,0,3358908,7,1
39,0,652425,8,1
39,0,94639,9,1
39,0,359076,10,1
39,0,24080,11,1
40,0,4105313,0,1
40,0,3072460,1,1
40,0,572637,2,1
40,0,54813,3,1
40,0,304391,4,1
40,0,12066,5,1
40,0,88946,6,1
40,0,3148954,7,1
40,0,605992,8,1
40,0,87292,9,1
40,0,339466,10,1
40,0,21796,11,1
41,0,4020254,0,1
41,0,3023120,1,1
41,0,551513,2,1
41,0,53848,3,1
41,0,294682,4,1
41,0,11518,5,1
41,0,85573,6,1
41,0,3096415,7,1
41,0,583243,8,1
41,0,85658,9,1
41,0,328587,10,1
41,0,20561,11,1
42,0,3974741,0,1
42,0,2990232,1,1
42,0,543614,2,1
42,0,53533,3,1
42,0,293480,4,1
42,0,11394,5,1
42,0,82488,6,1
42,0,3060881,7,1
42,0,573886,8,1
42,0,84781,9,1
42,0,325948,10,1
42,0,20352,11,1
43,0,3854040,0,1
43,0,2898231,1,1
43,0,522607,2,1
43,0,51596,3,1
43,0,292844,4,1
43,0,10651,5,1
43,0,78111,6,1
43,0,2965077,7,1
43,0,550701,8,1
43,0,81562,9,1
43,0,323811,10,1
43,0,19112,11,1
44,0,3967275,0,1
44,0,2992810,1,1
44,0,535884,2,1
44,0,52102,3,1
44,0,300706,4,1
44,0,10722,5,1
44,0,75051,6,1
44,0,3056639,7,1
44,0,562443,8,1
44,0,81311,9,1
44,0,330590,10,1
44,0,18808,11,1
45,0,3837909,0,1
45,0,2896272,1,1
45,0,516008,2,1
45,0,50383,3,1
45,0,293665,4,1
45,0,10064,5,1
45,0,71517,6,1
45,0,2956878,7,1
45,0,541191,8,1
45,0,78578,9,1
45,0,322117,10,1
45,0,17881,11,1
46,0,3889372,0,1
46,0,2934769,1,1
46,0,529872,2,1
46,0,50328,3,1
46,0,293803,4,1
46,0,9948,5,1
46,0,70652,6,1
46,0,2994514,7,1
46,0,554249,8,1
46,0,78655,9,1
46,0,322012,10,1
46,0,17594,11,1
47,0,4058038,0,1
47,0,3088628,1,1
47,0,546796,2,1
47,0,50770,3,1
47,0,291522,4,1
47,0,9865,5,1
47,0,70457,6,1
47,0,3148034,7,1
47,0,570591,8,1
47,0,79997,9,1
47,0,319178,10,1
47,0,17577,11,1
48,0,4282657,0,1
48,0,3296376,1,1
48,0,568153,2,1
48,0,51911,3,1
48,0,284068,4,1
48,0,9959,5,1
48,0,72190,6,1
48,0,3357341,7,1
48,0,592297,8,1
48,0,82517,9,1
48,0,311850,10,1
48,0,18130,11,1
49,0,4329775,0,1
49,0,3345762,1,1
49,0,567307,2,1
49,0,51731,3,1
49,0,284398,4,1
49,0,10232,5,1
49,0,70345,6,1
49,0,3404896,7,1
49,0,590599,8,1
